TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
12323847,Houston B-cycle,123335,RFID Card Member,Houston,TX,77042,UNITED STATES,Annual Member,097,Standard,City Hall,Rusk & St. Emanuel ,10,0,0,N,1.5,1.4,60,2016-10-10,2016-10-10,11:39:18,11:49:37,N,Y,One Way,Houston B-cycle
12561064,Houston B-cycle,123335,RFID Card Member,Houston,TX,77042,UNITED STATES,Annual Member,870,Standard,City Hall,Main & Dallas,7,0,0,N,1.1,1.0,42,2016-10-26,2016-10-26,09:20:32,09:27:44,N,Y,One Way,Houston B-cycle
12489547,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,519,Standard,Jackson Hill & Memorial Dr.,Jackson Hill & Memorial Dr.,0,0,0,N,.0,.0,0,2016-10-21,2016-10-21,11:39:20,11:39:20,N,Y,Round Trip,Houston B-cycle
12489549,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,519,Standard,Jackson Hill & Memorial Dr.,Jackson Hill & Memorial Dr.,1,0,0,N,.2,.1,6,2016-10-21,2016-10-21,11:39:20,11:40:11,N,Y,Round Trip,Houston B-cycle
12489610,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,085,Standard,Jackson Hill & Memorial Dr.,Jackson Hill & Memorial Dr.,1,0,0,N,.2,.1,6,2016-10-21,2016-10-21,11:42:54,11:43:13,N,Y,Round Trip,Houston B-cycle
12489709,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,892,Standard,Spotts Park,Spotts Park,1,0,0,N,.2,.1,6,2016-10-21,2016-10-21,11:48:43,11:49:08,N,Y,Round Trip,Houston B-cycle
12489996,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,148 R,Standard,Stude Park,Stude Park,1,0,0,N,.2,.1,6,2016-10-21,2016-10-21,12:06:44,12:07:07,N,Y,Round Trip,Houston B-cycle
12490005,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,118,Standard,Stude Park,Stude Park,0,0,0,N,.0,.0,0,2016-10-21,2016-10-21,12:07:24,12:07:37,N,Y,Round Trip,Houston B-cycle
12490015,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,828,Standard,Stude Park,Stude Park,0,0,0,N,.0,.0,0,2016-10-21,2016-10-21,12:08:23,12:08:36,N,Y,Round Trip,Houston B-cycle
12490035,Houston B-cycle,123458,Maintenance,,,,UNITED STATES,,828,Standard,Stude Park,Stude Park,2,0,0,N,.3,.3,12,2016-10-21,2016-10-21,12:09:29,12:11:09,N,Y,Round Trip,Houston B-cycle
