TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
25884566,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,12843,Standard,Earl Henderson Park,Earl Henderson Park,143,0,0,N,18.0,17.1,720,2022-01-05,2022-01-05,15:10:34,17:33:56,Y,Y,Round Trip,Houston BCycle
25884563,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01910,Standard,Earl Henderson Park,Earl Henderson Park,143,0,0,N,18.0,17.1,720,2022-01-05,2022-01-05,15:10:23,17:33:51,Y,Y,Round Trip,Houston BCycle
25888233,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,21212,Standard,Austin & Gray,Root Square,245,0,0,N,18.0,17.1,720,2022-01-06,2022-01-07,20:54:25,00:59:32,Y,Y,One Way,Houston BCycle
25888232,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01449,Standard,Austin & Gray,West Gray & Baldwin,232,0,0,N,18.0,17.1,720,2022-01-06,2022-01-07,20:54:21,00:46:50,Y,Y,One Way,Houston BCycle
25888231,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,Blue Tile,Standard,Austin & Gray,West Gray & Baldwin,234,0,0,N,18.0,17.1,720,2022-01-06,2022-01-07,20:53:57,00:47:08,Y,Y,One Way,Houston BCycle
25888230,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01382,Standard,Austin & Gray,West Gray & Baldwin,233,0,0,N,18.0,17.1,720,2022-01-06,2022-01-07,20:53:45,00:46:58,Y,Y,One Way,Houston BCycle
25905460,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,02164,Standard,Lamar & Milam,Louisiana & Walker,26,0,0,N,3.9,3.7,156,2022-01-13,2022-01-13,16:28:03,16:54:06,N,Y,One Way,Houston BCycle
25913575,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,029 SA,Standard,Lost Lake,24ELEVEN WASHINGTON,114,0,0,N,17.1,16.2,684,2022-01-16,2022-01-16,07:37:47,09:31:52,Y,Y,One Way,Houston BCycle
25900758,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,21032,Standard,Memorial Park Picnic Loop,Memorial Park Picnic Loop,0,0,0,N,.0,.0,0,2022-01-12,2022-01-12,10:10:12,10:10:12,N,Y,Round Trip,Houston BCycle
25900750,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,21258,Standard,Memorial Park Picnic Loop,Memorial Park Picnic Loop,0,0,0,N,.0,.0,0,2022-01-12,2022-01-12,10:08:46,10:08:46,N,Y,Round Trip,Houston BCycle
