TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
13507237,Houston Bcycle,123456,Maintenance,,,,UNITED STATES,,128,Standard,Rusk & St. Emanuel ,McKinney & Caroline,522,0,0,N,1.3,1.2,50,2017-01-21,2017-01-22,21:50:49,06:32:15,Y,Y,One Way,Houston Bcycle
13516410,Houston Bcycle,123456,Maintenance,,,,UNITED STATES,,696,Standard,Lamar & Crawford,Main & Walker,76,0,0,N,11.4,10.8,456,2017-01-23,2017-01-23,09:59:55,11:15:31,Y,Y,One Way,Houston Bcycle
13518009,Houston Bcycle,123456,Maintenance,,,,UNITED STATES,,055,Standard,Crawford Island,Lamar & Crawford,4,0,0,N,.6,.6,24,2017-01-23,2017-01-23,13:10:20,13:14:30,N,Y,One Way,Houston Bcycle
13515243,Houston Bcycle,128313,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Member,552,Standard,Market Square,Lamar & Milam,5,0,0,N,.8,.7,30,2017-01-23,2017-01-23,07:33:51,07:38:21,N,Y,One Way,Houston Bcycle
13458105,Houston Bcycle,128313,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Member,068,Standard,Market Square,Lamar & Milam,5,0,0,N,.8,.7,30,2017-01-17,2017-01-17,07:34:54,07:39:32,N,Y,One Way,Houston Bcycle
13391479,Houston Bcycle,128313,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Member,145,Standard,Market Square,Lamar & Milam,5,0,0,N,.8,.7,30,2017-01-10,2017-01-10,07:42:46,07:47:24,N,Y,One Way,Houston Bcycle
13399182,Houston Bcycle,128313,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Member,140 R2,Standard,Lamar & Milam,Market Square,5,0,0,N,.8,.7,30,2017-01-10,2017-01-10,17:56:09,18:01:18,N,Y,One Way,Houston Bcycle
13402780,Houston Bcycle,128313,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Member,989,Standard,Market Square,Lamar & Milam,5,0,0,N,.8,.7,30,2017-01-11,2017-01-11,07:36:04,07:41:00,N,Y,One Way,Houston Bcycle
13508971,Houston Bcycle,198537,RFID Card Member,Houston,TX,77004,UNITED STATES,Annual Member,205,Standard,Elgin & Smith,Lamar & Crawford,35,0,0,N,3.3,3.2,132,2017-01-22,2017-01-22,11:12:52,11:47:25,Y,Y,One Way,Houston Bcycle
13387855,Houston Bcycle,206233,RFID Card Member,Houston,TX,77009,UNITED STATES,Annual Member,881,Standard,McKinney & Caroline,Tellepsen YMCA,5,0,0,N,.8,.7,30,2017-01-09,2017-01-09,18:07:18,18:12:44,N,Y,One Way,Houston Bcycle
