Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
TIP,COH,8/26/2021,EaDo Stadium METRORail,1 Supended,"2220 Texas Ave. Houston, TX 77003",ROW,29.752501,-95.349953,I,EaDo ,N/A,7,DC,1.5,Inseego DS,N/A,13,,,,,,,,,Y,,,
TIP,COH,10/25/2017,Rice U. Gibbs Rec & Wellness,1 Suspended,"20 Alumni Dr., Houston, TX 77005",Private Property,29.7182761,-95.4036246,C,Rice University,5,N/A,DC ,1.5 DL,Feeney 4G,N/A,9,13,,,,,,,,,,,
TIP,COH,10/25/2017,Rice U. Greenbriar Lot,1 Suspended,"5650 Greenbriar Dr., Houston, TX 77005",Private Property,29.715734,-95.4126,C,Rice University,5,N/A,DC ,1.5 DL,Feeney 4G,N/A,18,18,,,,,,,,,,,
TIP,COH,7/23/2019,8th Wonder,1 Suspended,"2202 Dallas St., Houston, TX 77003",ROW,29.7492,-95.3556,I,EaDo,8,N/A,DC ,1.5 DL,Feeney 4G,N/A,15,10,,,,,,,,,,,
TIP,COH,6/26/2018,Bobcat Teddys,1 Suspended,"2803 White Oak Dr., Houston, TX 77007",ROW,29.78152,-95.38874,C,Heights,5,N/A,DC ,1.5DL,Verizon 3G,N/A,9,6,,,,,,,,,,,
"TIP, PC1",COH,6/13/2017,Emancipation Park,1 Suspended,"3100 Dowling St., Houston, TX 77004",Park,29.73529,-95.36453,D,Third Ward,7,N/A,DC ,1.5 DL,Verizon 3G,N/A,13,9,,,,,,,,,,,
TIP,COH,5/29/2019,Heights Mercantile,1 Suspended,"703 Yale St., Houston, TX 77007",Park,29.78335,-95.39888,C,Heights,N/A,8,DC ,1.5,Feeney 4G,N/A,15,9,,,,,,,,,,,
TIP,COH,2/7/2018,Montie Beach Park,1 Suspended,"915 Northwood St., Houston, TX 77009",Park,29.80017,-95.37847,H,Heights,7,N/A,DC ,1.5 DL,Feeney 4G,N/A,13,13,,,,,,,,,,,
TIP,COH,2/8/2018,Rice U. Cambridge Office Bldg,1 Suspended,"6100 Main St., Houston, TX 77005",Private Property,29.71139,-95.3996,C,Rice University,9,N/A,DC ,1.5 DL,Feeney 4G,N/A,13,14,,,,,,,,,,,
TIP,COH,4/18/2018,Rice U. Duncan Hall,1 Suspended,"Laboratory Rd., Houston, TX 77005",Private Property,29.72034,-95.3982,C,Rice University,7,N/A,DC ,1.5 DL,Feeney 4G,N/A,13,10,,,,,,,,,,,
TIP,COH,2/16/2018,Rice U. South Servery,1 Suspended,"Alumni Dr. Houston, TX 77005",Private Property,29.71537,-95.40145,C,Rice University,7,N/A,DC ,1.5 DL,Feeney 4G,N/A,13,10,,,,,,,,,,,
TIP,COH,2/9/2018,Rice Village Apartments,1 Suspended,"2410 Shakespeare St. Houston, TX 77030",Private Property,29.71434,-95.41499,C,Rice University,8,N/A,DC ,1.5 DL,Feeney 4G,N/A,15,12,,,,,,,,,,,
"TIP, PC1",COH,11/27/2018,UH Blaffer Art Museum/GDH School of Architecture,1 Suspended,"4188 Elgin St, Houston TX 77004",Private Property,29.72454,-95.34209,D,UH Main,,,DC ,1.5 DL,Feeney 4G,N/A,18,,,,,,,,,,,,
"TIP, PC1",COH,8/14/2018,UH Student Center North,1 Suspended,"4465 University Dr, Houston TX 77004",Private Property,29.72092,-95.34133,D,UH Main,,,DC ,1.5 DL,Feeney 4G,N/A,18,,,,,,,,,,,,
TIP,COH,8/23/2021,19th Street & Rutland,1 Suspended,"249 W. 19th Street, Houston, TX 77008",ROW,29.802968,-95.401236,C,Heights,N/A,10,DC,1.5,Inseego DS,N/A,19,,,,,,,,,,,,
PC1,PC1,5/27/2021,5th Ward / Denver Harbor Transit Center,1 Suspended,"5602 Lyons Ave., Houston TX 77020",ROW,29.77597,-95.31533,,5th Ward,N/A,8,DC,1,Inseego DS,N/A,15,0,,,,,,,,Y,,,
PC1,PC1,1/1/2020,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,1 Suspended,"12303 Sonnier St., Houston TX 77044",Park,29.91611,-95.14743,,Lake Houston,,,DC,,,N/A,18,,,,,,,,,,,,
PC1,PC1,1/1/2020,Alexander Deussen Park Picnic Area/ Pavillion 12,1 Suspended,"12303 Sonnier St., Houston TX 77044",Park,29.91047,-95.15279,,Lake Houston,,,DC,,,N/A,18,,,,,,,,,,,,
PC1,PC1,1/1/2020,Alexander Deussen Park Senior Center/ Pavilion 1,1 Suspended,"12303 Sonnier St., Houston TX 77044",Park,29.91047,-95.15279,,Lake Houston,,,DC,,,N/A,18,,,,,,,,,,,,
TIP,COH,7/24/2019,Burnett Transit Center,1 Suspended,"590 Burnett St., Houston, TX 77009",Private Property,29.772011,-95.359174,H,Near Northside,N/A,5,DC,,Feeney 4G,N/A,18,10,,,,,,,,Y,,,
TIP,COH,12/1/2020,Dallas & St. Emanuel,1 Suspended,"2105 Dallas St Houston, Tx 77003",ROW,29.7501193,-95.3564807,I,EaDo,,,DC,1.5,,,13,3,,,,,,,,,,,
TIP,COH,8/25/2021,DeLuxe Theatre,1 Suspended,"3303 Lyons Ave Houston, TX 77020",Private Property,29.776083,-95.3368,B,Inner Loop NE,N/A,4,DC,1.5,Inseego DS,N/A,14,,,,,,,,,,,,
PC1,PC1,2/25/2021,Dwight D. Eisenhower Park Trailheads,1 Suspended,"13400 Aqeduct Rd., Houston TX 77044",Park,29.90433,-95.14888,,Lake Houston,6,N/A,DC,1.5,Inseego DS,N/A,22,,,,,,,,,,,,
PC1,PC1,8/20/2021,Earl Henderon Park,1 Suspended,"4250 Elysian St., Houston, TX 77009",Park,29.79914,-95.35086,,Near Northside,7,N/A,DC,1.5,Inseego DS,N/A,13,,,,,,,,,,,,
PC1,PC1,12/7/2021,Finnigan Park,1 Suspended,"4900 Providence St., Houston, TX 77020",Park,29.7702,-95.320165,,5th Ward,N/A,7,DC,1.5,Inseego DS,N/A,13,0,,,,,,,,,PC1,,
TIP,COH,10/22/2019,Heights MKT Trail @ N Shepherd,1 Suspended,700 N Shepherd Dr. Houston TX 77007,Park,29.78328,-95.40952,C,Heights,,,DC,,,N/A,18,,,,,,,,,,,,
