PC1,NRG - Fannin,"1NRG Park Houston, TX 77054",Inner Loop SW,AC
PC1,NRG - Kirby,"8799 Kirby Dr. Houston, TX 77054",Inner Loop SW,AC
TIP,Centennial Gardens,"1500 Hermann Dr., Houston, TX 77004",Hermann Park,DC 
TIP,HCC Central,"1300 Holman St., Houston, TX 77004",Midtown,DC 
TIP,Health Museum,"1515 Hermann Dr., Houston, TX 77004",Museum District,DC 
TIP,Memorial Park Picnic Loop,"S Picnic Ln, Houston, TX 77007",Memorial Park,DC 
TIP,Memorial Park Running Center,"N Picnic Ln, Houston, TX 77007",Memorial Park,DC 
TIP,Austin & Gray,"2101 Austin St., Houston TX 77002",Midtown,DC
TIP,Baldwin Park,"1701 Elgin St., Houston, TX 77004",Midtown,DC
,Brazos & McGowen,"2600 Brazos St., Houston, TX 77006",Midtown,DC
TIP,Dunlavy & Westheimer,"1706 Westheimer Rd, Houston, TX 77098",Montrose,DC
TIP,Eleanor Tinsley Park,18-3600 Allen Pkwy. Houston TX 77019,Montrose,DC
,Ensemble/HCC METRORail,"3512 Main St., Houston, TX 77002",Midtown,DC
PC1,Fonde Recreation Center,"110 Sabine St. Houston, TX 77007",Montrose,DC
"TIP, PC1",Hermann Park Bill Coats Bridge @ Almeda,"6340 Almeda Road, Houston TX 77030",Hermann Park,DC
,Hermann Park Lake Plaza,"6100 Hermann Park Dr., Houston, TX 77030",Hermann Park,DC
"TIP, PC1",Hermann Park Rice U METROrail,"6050 Fannin St., Houston TX 77030",Hermann Park,DC
TIP,Jackson Hill & Memorial Dr,"300 Jackson Hill St, Houston, TX 77007",Washington Corridor,DC
PC1,La Branch & Alabama,"1502 Alabama St. Houston, TX 77004",Midtown,DC
,LaBranch & Lamar,"1075 La Branch, Houston, TX 77002",Downtown,DC
,Lamar & Crawford ,"1177 Crawford St., Houston, TX 77002",Downtown,DC
,Lamar & Milam,"782 Lamar, Houston, TX 77002",Downtown,DC
TIP,Lost Lake,"3450 D'Amico St., Houston, TX 77019",Montrose,DC
"TIP, PC1",MacGregor Park,5225 Calhoun Rd. Houston TX 77021,Third Ward,DC
,Main & Dallas,"1250 Main St., Houston, TX 77002",Downtown,DC
,Milam & Webster,"2215 Milam St., Houston, TX 77002",Midtown,DC
TIP,MLK & Griggs,"5107 Griggs Rd. Houston, TX, 77021",Inner Loop SE,DC
TIP,Park @ Palm Center,"5400 Griggs Rd., Houston, TX 77021",Inner Loop SE,DC
,Perry & Milart,"6110 Milart St, Houston, TX 77021",Inner Loop SE,DC
,Sabine Bridge,"190 Sabine Sr., Houston, TX 77007",Montrose/Midtown,DC
,Smith & Capitol,"612 Smith St., Houston, TX 77002",Downtown,DC
,Spotts Park,"3683 Willia St., Houston, TX 77007",Washington Corridor,DC
,Taft & Fairview,"2401 Taft St., Houston, TX 77006",Montrose,DC
TIP,Westheimer & Waugh,"1111 Westheimer, Houston, TX 77006",Montrose,DC
TIP,Convention Center ,"1001 Avenidas De Las Americas Houston, TX 77010",Downtown,B
,Post Oak & 4Oaks Pl. ,"1500 Post Oak Blvd. Houston, TX 77056",Uptown,B
,Regent Square,"3515 W. Dallas St. Houston, TX 77019",Montrose,B
,The Ion,"4201 Main St. Houston, TX 77002",Midtown,B
,Trebly Park,"1199 Bell St. Houston, TX 77002",Downtown,B
TIP,2222 Smith,"2222 Smith St., Houston, TX 77002",Midtown,AC
TIP,24ELEVEN WASHINGTON,"2411 Washington Ave., Houston, TX 77006",Washington Corridor,AC
,Clay & Smith,"554 Clay St., Houston, TX 77002",Downtown,AC
TIP,Crawford Island,"925 Crawford St., Houston, TX 77010",Downtown,AC
,Elgin & Smith,"614 Elgin, Houston, TX 77006",Midtown,AC
"TIP, PC1",Jury Assembly,"201 Caroline Street, Houston, TX 77002",Downtown,AC
TIP,Lamar & Bagby,"430 Lamar St., Houston, TX 77002",Downtown,AC
TIP,Lamar & Caroline ,"1300 Lamar St, Houston, Texas 77010",Downtown,AC
,Main Street Square METRORail Main & Walker,"914 Main St., Houston, TX 77002",Downtown,AC
,Market Square,"864 Congress St., Houston, TX 77002",Downtown,AC
,Menil Collection/Alabama & Mulberry," 1506 W Alabama St, Houston, TX 77006",Montrose,AC
TIP,Midtown Park,"2811 Travis St, Houston, TX 77006",Midtown,AC
TIP,Navigation Esplanade,"2501 Navigation BlvD., Houston, TX 77003",Greater East End,AC
TIP,Pearl Washington,"5418 Washington Ave., Houston, TX 77007",Washington Corridor,AC
,Tellepsen YMCA,"808 Pease St., Houston, TX 77002",Downtown,AC
,The Parker @ Memorial,"160 Birdsall, Houston, TX 77007",Washington Corridor,AC
,UHD Main & Franklin,"100 Main St., Houston, TX 77002",Downtown,AC
,West Gray & Baldwin,"218 Gray St., Houston, TX 77002",Midtown,AC
